,product,brand,sale_price,rating
63,Dog Supplement - Absolute Calcium Tablet,drools,339.15,3.9
466,"Focus - Super Dog Food, For Adults",drools,3612.5,3.3
1552,Absolute Calcium Bone Pouch,drools,169.15,4.0
1818,Puppy Wet Dog Food - Real Chicken & Chicken Liver Chunks In Gravy,drools,357.0,3.9
2822,"Dog Food - Optimum Performance, Puppy",drools,2422.5,3.0
4254,"Cat Food - Ocean Fish, Kitten",drools,25.5,3.9
4313,"Dog Food - Chicken & Egg, Adult",drools,17.0,3.9
4769,"Drools 100% Vegetarian Adult Dog Food, 6.5kg (Free 1.2kg Extra Inside*Limited Stock)",drools,599.4,3.8
5109,Dog Supplement - Absolute Calcium Syrup,drools,169.15,3.0
5938,Adult Wet Dog Food - Real Chicken & Chicken Liver Chunks in Gravy,drools,29.75,4.0
